"County","FIPS","Prevalent Count"
"Apache County","04001","2,705"
"Cochise County","04003","2,422"
"Coconino County","04005","2,919"
"Gila County","04007","1,631"
"Graham County","04009","886"
"Greenlee County","04011","147"
"La Paz County","04012","609"
"Maricopa County","04013","78,777"
"Mohave County","04015","4,384"
"Navajo County","04017","3,926"
"Pima County","04019","22,170"
"Pinal County","04021","8,049"
"Santa Cruz County","04023","1,307"
"Unknown","04999","93"
"Yavapai County","04025","3,475"
"Yuma County","04027","4,684"
