"County","FIPS","Prevalent Count"
"Beaver County","49001","84"
"Box Elder County","49003","618"
"Cache County","49005","984"
"Carbon County","49007","337"
"Daggett County","49009","*"
"Davis County","49011","3,585"
"Duchesne County","49013","229"
"Emery County","49015","173"
"Garfield County","49017","47"
"Grand County","49019","50"
"Iron County","49021","512"
"Juab County","49023","113"
"Kane County","49025","84"
"Millard County","49027","151"
"Morgan County","49029","64"
"Piute County","49031","11"
"Rich County","49033","15"
"Salt Lake County","49035","14,305"
"San Juan County","49037","558"
"Sanpete County","49039","222"
"Sevier County","49041","273"
"Summit County","49043","134"
"Tooele County","49045","728"
"Uintah County","49047","715"
"Unknown","49999","*"
"Utah County","49049","5,058"
"Wasatch County","49051","383"
"Washington County","49053","2,471"
"Wayne County","49055","18"
"Weber County","49057","3,170"
