"County","FIPS","Prevalent Count"
"Alamance County","37001","4,342"
"Alexander County","37003","1,057"
"Alleghany County","37005","155"
"Anson County","37007","1,061"
"Ashe County","37009","385"
"Avery County","37011","232"
"Beaufort County","37013","1,727"
"Bertie County","37015","991"
"Bladen County","37017","1,896"
"Brunswick County","37019","2,173"
"Buncombe County","37021","4,480"
"Burke County","37023","1,845"
"Cabarrus County","37025","5,366"
"Caldwell County","37027","1,422"
"Camden County","37029","452"
"Carteret County","37031","1,122"
"Caswell County","37033","818"
"Catawba County","37035","3,379"
"Chatham County","37037","2,386"
"Cherokee County","37039","410"
"Chowan County","37041","546"
"Clay County","37043","216"
"Cleveland County","37045","3,433"
"Columbus County","37047","1,697"
"Craven County","37049","2,998"
"Cumberland County","37051","8,835"
"Currituck County","37053","272"
"Dare County","37055","524"
"Davidson County","37057","4,377"
"Davie County","37059","825"
"Duplin County","37061","2,033"
"Durham County","37063","8,075"
"Edgecombe County","37065","3,176"
"Forsyth County","37067","8,964"
"Franklin County","37069","2,272"
"Gaston County","37071","4,543"
"Gates County","37073","307"
"Graham County","37075","162"
"Granville County","37077","1,757"
"Greene County","37079","1,200"
"Guilford County","37081","13,461"
"Halifax County","37083","2,699"
"Harnett County","37085","2,240"
"Haywood County","37087","1,049"
"Henderson County","37089","1,300"
"Hertford County","37091","1,024"
"Hoke County","37093","1,689"
"Hyde County","37095","83"
"Iredell County","37097","2,935"
"Jackson County","37099","408"
"Johnston County","37101","4,710"
"Jones County","37103","494"
"Lee County","37105","1,516"
"Lenoir County","37107","1,870"
"Lincoln County","37109","1,016"
"Macon County","37113","410"
"Madison County","37115","235"
"Martin County","37117","1,032"
"McDowell County","37111","861"
"Mecklenburg County","37119","19,926"
"Mitchell County","37121","129"
"Montgomery County","37123","856"
"Moore County","37125","2,311"
"Nash County","37127","3,537"
"New Hanover County","37129","3,490"
"Northampton County","37131","965"
"Onslow County","37133","2,435"
"Orange County","37135","1,653"
"Pamlico County","37137","241"
"Pasquotank County","37139","1,161"
"Pender County","37141","1,115"
"Perquimans County","37143","298"
"Person County","37145","1,066"
"Pitt County","37147","4,414"
"Polk County","37149","276"
"Randolph County","37151","2,533"
"Richmond County","37153","1,701"
"Robeson County","37155","4,734"
"Rockingham County","37157","2,393"
"Rowan County","37159","2,637"
"Rutherford County","37161","1,243"
"Sampson County","37163","1,616"
"Scotland County","37165","1,059"
"Stanly County","37167","1,047"
"Stokes County","37169","857"
"Surry County","37171","1,414"
"Swain County","37173","556"
"Transylvania County","37175","377"
"Tyrrell County","37177","95"
"Union County","37179","2,898"
"Unknown","37999","139"
"Vance County","37181","1,989"
"Wake County","37183","15,483"
"Warren County","37185","628"
"Washington County","37187","483"
"Watauga County","37189","482"
"Wayne County","37191","3,184"
"Wilkes County","37193","1,109"
"Wilson County","37195","2,924"
"Yadkin County","37197","531"
"Yancey County","37199","238"
