"County","FIPS","Prevalent Count"
"Allegany County","24001","1,472"
"Anne Arundel County","24003","10,847"
"Baltimore city","24510","25,199"
"Baltimore County","24005","25,659"
"Calvert County","24009","1,658"
"Caroline County","24011","657"
"Carroll County","24013","2,339"
"Cecil County","24015","1,640"
"Charles County","24017","4,448"
"Dorchester County","24019","1,044"
"Frederick County","24021","3,727"
"Garrett County","24023","437"
"Harford County","24025","4,129"
"Howard County","24027","4,103"
"Kent County","24029","444"
"Montgomery County","24031","17,179"
"Prince George's County","24033","34,891"
"Queen Anne's County","24035","618"
"Somerset County","24039","740"
"St. Mary's County","24037","1,971"
"Talbot County","24041","821"
"Unknown","24999","225"
"Washington County","24043","2,674"
"Wicomico County","24045","2,862"
"Worcester County","24047","1,232"
