"County","FIPS","Prevalent Count"
"Adair County","19001","131"
"Adams County","19003","111"
"Allamakee County","19005","316"
"Appanoose County","19007","353"
"Audubon County","19009","158"
"Benton County","19011","516"
"Black Hawk County","19013","2,454"
"Boone County","19015","408"
"Bremer County","19017","370"
"Buchanan County","19019","368"
"Buena Vista County","19021","324"
"Butler County","19023","240"
"Calhoun County","19025","168"
"Carroll County","19027","400"
"Cass County","19029","175"
"Cedar County","19031","291"
"Cerro Gordo County","19033","850"
"Cherokee County","19035","184"
"Chickasaw County","19037","252"
"Clarke County","19039","121"
"Clay County","19041","390"
"Clayton County","19043","183"
"Clinton County","19045","944"
"Crawford County","19047","328"
"Dallas County","19049","751"
"Davis County","19051","126"
"Decatur County","19053","120"
"Delaware County","19055","284"
"Des Moines County","19057","858"
"Dickinson County","19059","408"
"Dubuque County","19061","1,395"
"Emmet County","19063","131"
"Fayette County","19065","346"
"Floyd County","19067","256"
"Franklin County","19069","123"
"Fremont County","19071","123"
"Greene County","19073","135"
"Grundy County","19075","215"
"Guthrie County","19077","130"
"Hamilton County","19079","154"
"Hancock County","19081","231"
"Hardin County","19083","302"
"Harrison County","19085","260"
"Henry County","19087","423"
"Howard County","19089","186"
"Humboldt County","19091","136"
"Ida County","19093","135"
"Iowa County","19095","180"
"Jackson County","19097","272"
"Jasper County","19099","508"
"Jefferson County","19101","242"
"Johnson County","19103","1,706"
"Jones County","19105","264"
"Keokuk County","19107","146"
"Kossuth County","19109","277"
"Lee County","19111","714"
"Linn County","19113","3,135"
"Louisa County","19115","267"
"Lucas County","19117","149"
"Lyon County","19119","217"
"Madison County","19121","146"
"Mahaska County","19123","427"
"Marion County","19125","404"
"Marshall County","19127","824"
"Mills County","19129","307"
"Mitchell County","19131","107"
"Monona County","19133","184"
"Monroe County","19135","184"
"Montgomery County","19137","127"
"Muscatine County","19139","595"
"O'Brien County","19141","213"
"Osceola County","19143","95"
"Page County","19145","236"
"Palo Alto County","19147","137"
"Plymouth County","19149","389"
"Pocahontas County","19151","94"
"Polk County","19153","6,819"
"Pottawattamie County","19155","1,441"
"Poweshiek County","19157","249"
"Ringgold County","19159","104"
"Sac County","19161","170"
"Scott County","19163","3,030"
"Shelby County","19165","183"
"Sioux County","19167","323"
"Story County","19169","602"
"Tama County","19171","304"
"Taylor County","19173","119"
"Union County","19175","237"
"Unknown","19999","36"
"Van Buren County","19177","128"
"Wapello County","19179","566"
"Warren County","19181","624"
"Washington County","19183","283"
"Wayne County","19185","112"
"Webster County","19187","577"
"Winnebago County","19189","140"
"Winneshiek County","19191","236"
"Woodbury County","19193","1,970"
"Worth County","19195","101"
"Wright County","19197","183"
