"County","FIPS","Prevalent Count"
"Barnstable County","25001","3,342"
"Berkshire County","25003","2,352"
"Bristol County","25005","9,519"
"Dukes County","25007","129"
"Essex County","25009","13,851"
"Franklin County","25011","1,095"
"Hampden County","25013","10,052"
"Hampshire County","25015","1,699"
"Middlesex County","25017","22,966"
"Nantucket County","25019","80"
"Norfolk County","25021","11,039"
"Plymouth County","25023","7,322"
"Suffolk County","25025","15,156"
"Unknown","25999","327"
"Worcester County","25027","11,815"
