"County","FIPS","Prevalent Count"
"Bernalillo County","35001","13,085"
"Catron County","35003","40"
"Chaves County","35005","1,529"
"Cibola County","35006","1,510"
"Colfax County","35007","237"
"Curry County","35009","1,000"
"De Baca County","35011","38"
"Dona Ana County","35013","4,542"
"Eddy County","35015","1,099"
"Grant County","35017","570"
"Guadalupe County","35019","108"
"Harding County","35021","*"
"Hidalgo County","35023","97"
"Lea County","35025","1,495"
"Lincoln County","35027","225"
"Los Alamos County","35028","134"
"Luna County","35029","665"
"McKinley County","35031","4,204"
"Mora County","35033","100"
"Otero County","35035","836"
"Quay County","35037","82"
"Rio Arriba County","35039","997"
"Roosevelt County","35041","251"
"San Juan County","35045","3,929"
"San Miguel County","35047","560"
"Sandoval County","35043","2,565"
"Santa Fe County","35049","2,358"
"Sierra County","35051","205"
"Socorro County","35053","393"
"Taos County","35055","649"
"Torrance County","35057","170"
"Union County","35059","46"
"Unknown","35999","20"
"Valencia County","35061","1,599"
