"County","FIPS","Prevalent Count"
"Allen County","20001","296"
"Anderson County","20003","104"
"Atchison County","20005","264"
"Barber County","20007","37"
"Barton County","20009","290"
"Bourbon County","20011","302"
"Brown County","20013","172"
"Butler County","20015","952"
"Chase County","20017","113"
"Chautauqua County","20019","63"
"Cherokee County","20021","487"
"Cheyenne County","20023","42"
"Clark County","20025","*"
"Clay County","20027","110"
"Cloud County","20029","157"
"Coffey County","20031","85"
"Comanche County","20033","14"
"Cowley County","20035","562"
"Crawford County","20037","558"
"Decatur County","20039","58"
"Dickinson County","20041","280"
"Doniphan County","20043","128"
"Douglas County","20045","1,217"
"Edwards County","20047","44"
"Elk County","20049","17"
"Ellis County","20051","383"
"Ellsworth County","20053","95"
"Finney County","20055","669"
"Ford County","20057","558"
"Franklin County","20059","445"
"Geary County","20061","503"
"Gove County","20063","31"
"Graham County","20065","42"
"Grant County","20067","122"
"Gray County","20069","122"
"Greeley County","20071","28"
"Greenwood County","20073","73"
"Hamilton County","20075","33"
"Harper County","20077","87"
"Harvey County","20079","648"
"Haskell County","20081","51"
"Hodgeman County","20083","26"
"Jackson County","20085","168"
"Jefferson County","20087","264"
"Jewell County","20089","40"
"Johnson County","20091","6,993"
"Kearny County","20093","43"
"Kingman County","20095","70"
"Kiowa County","20097","27"
"Labette County","20099","529"
"Lane County","20101","49"
"Leavenworth County","20103","1,259"
"Lincoln County","20105","30"
"Linn County","20107","126"
"Logan County","20109","54"
"Lyon County","20111","403"
"Marion County","20115","135"
"Marshall County","20117","156"
"McPherson County","20113","293"
"Meade County","20119","51"
"Miami County","20121","464"
"Mitchell County","20123","74"
"Montgomery County","20125","559"
"Morris County","20127","72"
"Morton County","20129","26"
"Nemaha County","20131","152"
"Neosho County","20133","274"
"Ness County","20135","53"
"Norton County","20137","63"
"Osage County","20139","223"
"Osborne County","20141","31"
"Ottawa County","20143","236"
"Pawnee County","20145","25"
"Phillips County","20147","94"
"Pottawatomie County","20149","185"
"Pratt County","20151","109"
"Rawlins County","20153","75"
"Reno County","20155","1,050"
"Republic County","20157","63"
"Rice County","20159","111"
"Riley County","20161","514"
"Rooks County","20163","67"
"Rush County","20165","33"
"Russell County","20167","51"
"Saline County","20169","826"
"Scott County","20171","16"
"Sedgwick County","20173","9,214"
"Seward County","20175","332"
"Shawnee County","20177","3,541"
"Sheridan County","20179","39"
"Sherman County","20181","80"
"Smith County","20183","38"
"Stafford County","20185","76"
"Stanton County","20187","68"
"Stevens County","20189","34"
"Sumner County","20191","381"
"Thomas County","20193","46"
"Trego County","20195","18"
"Unknown","20999","50"
"Wabaunsee County","20197","63"
"Wallace County","20199","16"
"Washington County","20201","54"
"Wichita County","20203","23"
"Wilson County","20205","101"
"Woodson County","20207","43"
"Wyandotte County","20209","5,128"
